"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Total Cal","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"37872196","2019-04-14 00:00:00","7,000m row","""29:50.1""","1790.1","","","7000","","","","2:07.8","167","876","436","","","42","Hwt","Indoor Rower","No","#4.7 E/PM4@home"
"37872192","2019-04-14 00:00:00","1,271m row","""5:43.2""","343.2","","","1271","","","","2:15.0","142","789","75","","","42","Hwt","Indoor Rower","No","#4.7 E/PM4@home"
"37549842","2019-03-21 00:00:00","5,000m row","""22:20.5""","1340.5","","","5000","","","","2:14.0","145","800","298","","","42","Hwt","Indoor Rower","No","#4.5 E/PM4@home"
"36455328","2019-01-13 00:00:00","7,017m row","""30:32.6""","1832.6","","","7017","","","","2:10.5","157","840","428","","","42","Hwt","Indoor Rower","No","#4.5 E/PM4@home"
"36313904","2019-01-06 00:00:00","7,019m row","""29:35.7""","1775.7","","","7019","","","","2:06.4","173","895","441","","","42","Hwt","Indoor Rower","No","#4.5 E/PM4@home"
"36296572","2019-01-05 00:00:00","7,014m row","""30:26.5""","1826.5","","","7014","","","","2:10.2","159","845","429","","","42","Hwt","Indoor Rower","No","#4.5 E/PM4@home"
