"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Total Cal","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"43360450","2020-04-07 00:00:00","5,000m row","""19:54.3""","1194.3","","","5000","","","","1:59.4","205","1007","334","","","43","Hwt","Indoor Rower","Yes","10' warm, 5k, 5' cool"
"43360572","2020-04-06 00:00:00","5,000m row","""21:09.8""","1269.8","","","5000","","","","2:06.9","171","888","313","","","43","Hwt","Indoor Rower","No","5k w/ 3x250m"
"43360592","2020-03-31 00:00:00","8,000m row","""35:00.0""","2100","","","8000","","","","2:11.2","155","832","485","","","43","Hwt","Indoor Rower","No","C2: 10' + 8x 1'/1' + 10'"
"43360639","2020-03-30 00:00:00","8,200m row","""36:24.0""","2184","","","8200","","","","2:13.1","148","810","491","","","43","Hwt","Indoor Rower","No","Fartlek."
"43341229","2020-03-04 12:04:00","5:05 row","""5:05.8""","305.8","","","1135","","22","112","2:14.7","143","792","66","","120","43","Hwt","Indoor Rower","No",""
"43341230","2020-03-04 11:57:00","5000m row","""20:47.0""","1247","","","5000","","24","492","2:04.7","180","921","329","","122","43","Hwt","Indoor Rower","No",""
"43341231","2020-03-04 11:34:00","5:08 row","""5:08.8""","308.8","","","1249","","19","119","2:03.6","185","937","80","","121","43","Hwt","Indoor Rower","No",""
